NDB_No	Nutr_No	Flav_Val (mg Per 100g)	SD	N	Min	Max	CC
9430	737	0	0	7	0	0	A
9430	738	0	0	7	0	0	A
9442	735	0		1			C
9500	734	12.64	3.88	17	7.91	25.5	B
9500	735	11.75	5.04	8	6.44	23.2	A
9500	736	32.77	10.3	5	21.37	49.5	B
9500	737	23.11	5.99	5	15.1	30.35	B
9500	738	36.75	11.84	5	21.6	54.25	B
9501	734	7.36	1.64	18	4.58	10.6	B
9501	735	4.73	1.37	7	2.88	6.4	B
9501	736	21.77	1.21	4	20.58	23.17	B
9501	737	18.75	1.01	4	17.55	19.98	B
9501	738	26.46	2.77	4	23.17	29.78	B
9502	734	12.9	2.53	13	9.71	18.37	B
9502	735	8.59	1.55	8	7.07	11.35	A
9502	736	30.78	6.94	5	22.3	41.55	B
9502	737	25.92	10.8	5	9.1	39.26	B
9502	738	38.77	18.77	5	8.6	59.93	B
9503	734	9.55	0.3	3	9.26	9.86	B
9503	735	6.24	0.23	3	6.05	6.49	B
9503	736	21.28	1.51	3	19.93	22.91	B
9503	737	18.73	1.36	3	17.74	20.28	B
9503	738	30.68	5.56	3	26.63	37.02	B
9504	734	9.92	2.64	4	6.48	12.9	B
9504	735	6.09	1.43	4	4.29	7.78	B
9504	736	19.09	4.31	4	13.76	24.32	B
9504	737	13.81	2.79	4	10.62	17.43	B
9504	738	14.22	3.06	4	11.18	18.48	B
11008	734	0		1			B
11008	735	0		1			B
11008	736	0		1			B
11008	737	0		1			B
11008	738	0		1			B
11012	734	0		1			B
11012	735	0		1			B
11012	736	0		1			B
11012	737	0		1			B
11012	738	0		1			B
11052	734	0		3			C
11052	735	0		3			C
11080	734	0		1			C
11080	735	0		1			C
11080	736	0		1			C
11080	737	0		1			C
11080	738	0		1			C
11088	734	91.81	33.79	33	17.89	205.17	B
11088	735	21.73	14.37	33	0	78.2	B
11090	734	0		2	0	0	B
11090	735	0		2	0	0	B
11090	736	0		2	0	0	B
11090	737	0		2	0	0	B
11090	738	0		2	0	0	B
11091	734	0		1			B
11091	735	0		1			B
11091	736	0		1			B
11091	737	0		1			B
11091	738	0		1			B
11096	734	0		1			B
11096	735	0		1			B
11096	736	0		1			B
11096	737	0		1			B
11096	738	0		1			B
11097	734	0		1			B
11097	735	0		1			B
11097	736	0		1			B
11097	737	0		1			B
11097	738	0		1			B
11109	734	0		1			C
11109	735	0		1			C
11109	736	0		1			C
11109	737	0		1			C
11109	738	0		1			C
11110	734	0		1			B
11110	735	0		1			B
11110	736	0		1			B
11110	737	0		1			B
11110	738	0		1			B
11112	734	0		1			B
11112	735	0		1			B
11112	736	0		1			B
11112	737	0		1			B
11112	738	0		1			B
11113	734	0		1			B
11113	735	0		1			B
11113	736	0		1			B
11113	737	0		1			B
11113	738	0		1			B
11116	734	0		1			C
11116	735	0		1			C
11116	736	0		1			C
11116	737	0		1			C
11116	738	0		1			C
11124	734	0	0	8	0	0	B
11124	735	0	0	8	0	0	B
11124	736	0	0	5	0	0	B
11124	737	0	0	5	0	0	B
11124	738	0	0	5	0	0	B
11125	734	0	0	4	0	0	B
11125	735	0	0	4	0	0	B
11125	736	0	0	4	0	0	B
11125	737	0	0	4	0	0	B
11125	738	0	0	4	0	0	B
11135	734	0		1			C
11135	735	0		1			C
11135	736	0		1			C
11135	737	0		1			C
11135	738	0		1			C
11141	734	0		1			C
11141	735	0		1			C
11141	736	0		1			C
11141	737	0		1			C
11141	738	0		1			C
11143	734	0		1			B
11143	735	0		1			B
11143	736	0		1			B
11143	737	0		1			B
11143	738	0		1			B
11167	734	0		1			B
11167	735	0		1			B
11167	736	0		1			B
11167	737	0		1			B
11167	738	0		1			B
11205	734	0		2	0	0	B
11205	735	0		2	0	0	B
11205	736	0		2	0	0	B
11205	737	0		2	0	0	B
11205	738	0		2	0	0	B
11206	734	0		1			B
11206	735	0		1			B
11206	736	0		1			B
11206	737	0		1			B
11206	738	0		1			B
11209	734	0	0	4	0	0	C
11209	735	0	0	4	0	0	C
11209	736	0		1			C
11209	737	0		1			C
11209	738	0		1			C
11215	734	0		1			C
11215	735	0		1			C
11215	736	0		1			C
11215	737	0		1			C
11215	738	0		1			C
11226	734	0		1			C
11226	735	0		1			C
11226	736	0		1			C
11226	737	0		1			C
11226	738	0		1			C
11248	734	1.86		1			D
11248	735	0		1			D
11248	736	0.09		1			D
11251	734	0		1			B
11251	735	0		1			B
11251	736	0		1			B
11251	737	0		1			B
11251	738	0		1			B
11252	734	0	0	3	0	0	B
11252	735	0	0	3	0	0	B
11252	736	0	0	3	0	0	B
11252	737	0	0	3	0	0	B
11252	738	0	0	3	0	0	B
11253	734	0		1			B
11253	735	0		1			B
11253	736	0		1			B
11253	737	0		1			B
11253	738	0		1			B
11257	734	0		2	0	0	B
11257	735	0		2	0	0	B
11257	736	0		2	0	0	B
11257	737	0		2	0	0	B
11257	738	0		2	0	0	B
11282	734	0	0	5	0	0	B
11282	735	0	0	5	0	0	B
11282	736	0		2	0	0	B
11282	737	0		2	0	0	B
11282	738	0		2	0	0	B
11283	734	0		1			B
11283	735	0		1			B
11283	736	0		1			B
11283	737	0		1			B
11283	738	0		1			B
11294	734	0		1			B
11294	735	0		1			B
11294	736	0		1			B
11294	737	0		1			B
11294	738	0		1			B
11298	734	0		1			C
11298	735	0		1			C
11298	736	0		1			C
11298	737	0		1			C
11298	738	0		1			C
11304	734	0		3			C
11304	735	0		3			C
11333	734	0	0	9	0	0	B
11333	735	0	0	9	0	0	B
11333	736	0	0	6	0	0	B
11333	737	0	0	6	0	0	B
11333	738	0	0	6	0	0	B
11334	734	0	0	4	0	0	B
11334	735	0	0	4	0	0	B
11334	736	0	0	4	0	0	B
11334	737	0	0	4	0	0	B
11334	738	0	0	4	0	0	B
11353	734	0		1			B
11353	735	0		1			B
11353	736	0		1			B
11353	737	0		1			B
11353	738	0		1			B
11354	734	0		1			B
11354	735	0		1			B
11354	736	0		1			B
11354	737	0		1			B
11354	738	0		1			B
11355	734	0		1			B
11355	735	0		1			B
11355	736	0		1			B
11355	737	0		1			B
11355	738	0		1			B
11356	734	0		1			B
11356	735	0		1			B
11356	736	0		1			B
11356	737	0		1			B
11356	738	0		1			B
