NDB No	Nutr_No	Nutr_Val	Num_Data_Pts	CC
20001	421	70	1	C
20009	421	54	1	C
20010	421	20	1	B
20013	421	6.9	1	B
20015	421	18	1	C
20020	421	22	1	C
20022	421	11	2	B
20033	421	32	2	B
20035	421	70	1	B
20037	421	9.2	1	B
20038	421	30	1	C
20045	421	2.1	2	B
20063	421	30	1	C
20080	421	31	2	B
20081	421	10	2	B
20109	421	79	1	B
20110	421	26	1	B
20120	421	15	2	B
20121	421	6.4	2	B
20131	421	38	1	B
20138	421	26	1	C
20142	421	13	1	C
20317	421	4.3	1	B
21005	421	98	1	B
21007	421	130	1	B
21009	421	27	1	B
21011	421	92	1	B
21014	421	84	1	B
21020	421	30	1	B
21022	421	100	1	B
21024	421	14	1	B
21026	421	18	1	B
21060	421	27	1	B
21064	421	28	1	B
21078	421	26	1	B
21080	421	28	1	B
21082	421	32	1	B
21083	421	23	1	B
21089	421	29	1	B
21098	421	29	1	B
21100	421	39	3	A
21102	421	35	3	A
21106	421	33	2	B
21107	421	34	6	A
21114	421	41	2	B
21138	421	21	3	B
21202	421	33	3	A
21226	421	25	1	B
21229	421	41	5	A
21230	421	31	1	B
21299	421	16	8	A
21300	421	17	7	A
21301	421	19	3	B
21302	421	25	7	A
21303	421	25	7	A
21304	421	22	4	B
21388	421	27	1	B
21401	421	44	3	B
21409	421	98	1	B
21410	421	84	1	B
21411	421	82	1	B
22247	421	5.4	1	B
22902	421	22	1	B
22903	421	26	1	B
22904	421	27	1	B
22905	421	16	1	B
22912	421	12	1	B
22916	421	17	1	B
22927	421	28	1	B
22928	421	28	1	B
23030	421	87	1	B
23031	421	100	1	B
23032	421	91	1	B
23033	421	100	1	B
23034	421	75	1	B
23035	421	100	1	B
23036	421	85	1	B
23037	421	85	1	B
23038	421	94	1	B
23039	421	87	1	B
23040	421	100	1	B
23041	421	83	1	B
23042	421	100	1	B
23043	421	100	1	B
23044	421	110	1	B
23045	421	81	1	B
23046	421	100	1	B
23047	421	86	1	B
23048	421	100	1	B
23049	421	84	1	B
23050	421	94	1	B
23051	421	91	1	B
23052	421	92	1	B
23065	421	110	1	B
23557	421	71	1	A
23558	421	85	1	A
23562	421	66	1	A
23563	421	84	1	A
23567	421	61	1	A
23568	421	82	1	A
23572	421	56	1	A
23573	421	81	1	A
23577	421	52	1	A
23578	421	79	1	A
25000	421	13	1	B
25013	421	15	1	B
25014	421	14	1	B
25017	421	18	1	B
25020	421	41	1	B
25021	421	42	1	B
35009	421	130	1	C
35015	421	4.9	1	C
35055	421	120	1	C
35056	421	72	1	C
35149	421	50	4	B
35150	421	94	1	C
35151	421	99	1	C
35152	421	90	1	C
35153	421	96	1	C
35155	421	11	1	C
35157	421	82	1	C
35158	421	250	1	C
35160	421	200	1	C
35161	421	260	1	C
35162	421	88	1	C
35164	421	68	1	B
35165	421	210	1	C
35166	421	110	1	C
35167	421	88	1	C
35168	421	99	1	C
35169	421	110	1	C
35171	421	230	2	C
35179	421	11	2	B
35180	421	260	1	C
35181	421	90	1	C
35182	421	34	1	C
35184	421	300	1	C
35187	421	15	1	C
35188	421	64	3	B
35190	421	220	2	C
35193	421	8.8	1	B
35196	421	20	1	B
42187	421	23	1	B
42289	421	0.2	2	B
43133	421	14	1	B
43261	421	16	1	B
98001	421	12	1	B
98005	421	1.8	1	B
98010	421	22	1	B
98011	421	8	2	B
98013	421	28	2	B
98014	421	8.6	1	B
98015	421	0.4	1	B
98019	421	28	1	B
98020	421	24	1	B
98021	421	86	1	B
98022	421	100	1	B
98024	421	17	1	B
98026	421	7.6	1	B
98028	421	0.5	1	B
98029	421	0.6	1	B
98030	421	16	2	B
98031	421	31	1	B
98032	421	44	1	B
98033	421	38	2	B
98034	421	23	1	B
98035	421	18	1	B
98039	421	14	1	B
98041	421	46	1	B
